Test ID,Priority,Area,Scenario,Preconditions,Steps,Expected Result,Failure Signal,Owner,Status,Last Run,Notes
QC-001,Critical,Enrollment,Bind new device with EMI terms,Dealer logged in; unused key available; user app freshly installed,"Create enrollment; enter customer data; enter total price/down payment/interest/duration/grace; confirm with user app code",Device becomes enrolled; key count decreases; EMI schedule created only after confirm,Key count unchanged or schedule missing,Flutter+Backend,Not Run,Physical test required
QC-002,Critical,Enrollment,Wrong 6-digit code is rejected,Pending enrollment exists,"Enter wrong code in user app",User app shows readable failure and backend does not activate device,Device activates with wrong code,Kotlin+Backend,Not Run,
QC-003,Critical,EMI Schedule,3-month EMI produces exactly 3 local rows,Device confirmed with 3-month EMI,"Open user app dashboard; inspect local schedule/debug logs",Only 3 due rows exist; no month 4 reminder,Month 4 reminder appears,Kotlin,Not Run,
QC-004,Critical,Location,Fresh pull location succeeds,Dealer and user app online; location permission granted,"Tap Pull Location once; watch logs",FCM received; GPS read; report accepted; dealer map updates,Accepted request but no map update,All,Not Run,
QC-005,Critical,Location,Repeated pull does not clog DB,Same as QC-004,"Tap Pull Location 5 times quickly",Only one active pull remains; UI cooldown shows,Multiple pending pulls pile up,Backend+Flutter,Not Run,
QC-006,Critical,Location,Stale location warning appears,Device offline or FCM unavailable,"Tap Pull Location; wait timeout",Spinner stops; dealer sees pending/stale warning with timestamp,Spinner forever or previous location shown as live,Flutter,Not Run,
QC-007,Critical,Lock,Lock command confirms visibly,Device online; overlay/admin permission active,"Submit lock request with reason/note",Dealer UI exits spinner and shows locked status,Device locks but dialog spins forever,All,Not Run,
QC-008,Critical,Unlock,Unlock command confirms visibly,Device locked and online,"Submit unlock request",Dealer UI exits spinner and shows unlocked status,Device unlocks but UI remains pending,All,Not Run,
QC-009,Critical,Offline Unlock,OTP unlock works when offline,Device locked; offline secret provisioned,"Disconnect internet; enter offline unlock OTP/code",Device unlocks locally and syncs when online,Device says no offline secret or status never syncs,Kotlin+Backend,Not Run,
QC-010,Critical,Offline Unlock,SMS OTP auto-read works,READ_SMS permission granted; SMS format known,"Send valid offline unlock SMS to device",User app detects SMS and starts unlock flow,Message ignored,Kotlin,Not Run,
QC-011,Critical,Permission Tamper,Overlay permission turned off,Device enrolled and overlay permission initially granted,"Open Android settings; disable display over other apps; return to user app or trigger dealer command",Backend receives degraded snapshot; dealer sees protection degraded quickly,Dealer still shows healthy,Kotlin+Backend+Flutter,Not Run,
QC-012,Critical,Permission Tamper,SMS permission turned off,Device enrolled and SMS permission initially granted,"Disable SMS permission; return to user app or send OTP SMS",Backend receives SMS degraded snapshot; dealer sees SMS unlock degraded,No warning; OTP silently fails,Kotlin+Backend+Flutter,Not Run,
QC-013,Critical,Permission Tamper,Notification permission turned off,Device enrolled; notification permission initially granted,"Disable notification permission; return to user app or send dealer message",Backend receives notification degraded snapshot; dealer sees degraded notification status,Dealer thinks notification delivered,Kotlin+Backend+Flutter,Not Run,
QC-014,Critical,App Removal,User app uninstalled or FCM token invalid,Device enrolled; backend has FCM token,"Uninstall app if allowed or simulate invalid token; send command",Backend marks suspected app removal after FCM invalid response,Dealer only sees old status,Backend+Flutter,Not Run,
QC-015,High,Heartbeat,Device offline vs app removed distinction,Device enrolled,"Turn off internet; do not uninstall app; wait heartbeat window",Dealer shows offline/delayed, not app removed,False uninstall alert,Backend+Flutter,Not Run,
QC-016,High,Dealer Message,Message sends quickly,Device online,"Send message from dealer app",UI returns quickly; user app displays message/notification,Long spinner or delayed notification,All,Not Run,
QC-017,High,Evidence Vault,Real account requires evidence photos,Dealer real account logged in,"Start binding; try to skip NID/face photos",Wizard blocks until required evidence captured,Enrollment completes without evidence,Flutter,Not Run,
QC-018,High,Evidence Vault,Demo account can skip vault requirement,Demo dealer logged in,"Start demo enrollment",Demo flow does not block on Google Drive evidence,Demo blocked by evidence requirement,Flutter,Not Run,
QC-019,High,QR Enrollment,Missing AMAPI config is visible,Render AMAPI env intentionally missing in staging,"Tap generate enrollment QR",Dealer sees clear setup error,Blank QR with no error,Backend+Flutter,Not Run,
QC-020,Critical,Enrollment IMEI,Scan phone box/sticker IMEI QR or barcode,Dealer app installed with camera permission,"Open Bind New Device; go to Device information; tap Scan; scan a QR/barcode containing IMEI1/IMEI2 plus serial/model text",Only valid Luhn IMEIs fill IMEI 1 and IMEI 2; serial/model numbers are ignored,Serial number fills IMEI field or invalid IMEI accepted,Flutter+Backend,Not Run,
QC-021,Critical,Enrollment IMEI,Invalid manual IMEI is rejected,Dealer app on Device information step,"Type a random 15-digit number that fails Luhn; tap Next",Wizard blocks with readable invalid IMEI message,Enrollment proceeds with invalid IMEI,Flutter+Backend,Not Run,
QC-020,High,Login,Login screen does not expose backend URL,Invalid network/backend state,"Open login; force login error",Error is human-readable and hides backend URL,Raw URL shown to dealer,Flutter,Not Run,
QC-021,Medium,Device List,Customer name visible,Device has customer data,"Open device list and detail",Customer name and useful summary visible,Blank/unknown customer,Flutter+Backend,Not Run,
QC-022,Medium,Map,Open in Google Maps works,Device has valid location,"Open location dialog; tap external maps action",Google Maps opens at coordinates,Button missing or opens wrong place,Flutter,Not Run,
QC-023,Medium,Rate Limit,Registered device action unaffected by Redis outage,Staging Redis unavailable,"Send lock/location/message as registered dealer",Action accepted or fails open where safe,Redis blocks registered flow,Backend,Not Run,
QC-024,Medium,Recovery,Device token refresh repairs missing local token,Old enrolled app with no token,"Trigger FCM/location or app startup refresh",Token saved and report works,401 remains,Kotlin+Backend,Not Run,
QC-025,Medium,SSE,Dealer reconnect receives updates,Dealer app running; network toggled,"Disconnect/reconnect network; send event",SSE reconnects and visible state refreshes,Updates only after manual refresh,Flutter+Backend,Not Run
